popularity_songs,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,followers,popularity_artists,Cluster,PCA1,PCA2
19,222000,0,0.676,0.358,2,-18.49,1,0.117,0.405,1.94e-05,0.178,0.826,85.742,4,3310.0,22,3,-0.844654626727043,0.8098107379580515
40,195904,0,0.532,0.818,2,-5.998,1,0.0358,0.00191,0.306,0.211,0.313,150.034,4,4068.0,36,0,1.299813255058099,-1.4056405212180467
53,219987,0,0.605,0.964,9,-1.581,1,0.0643,0.011,0.0,0.187,0.81,99.071,4,4829.0,39,0,2.77003237396206,-0.07811259116012281
36,281387,0,0.685,0.641,4,-3.619,1,0.0297,0.628,0.0,0.143,0.591,134.012,4,447068.0,64,0,1.1170691863870446,-0.5361722137394662
12,237122,0,0.372,0.68,10,-7.187,1,0.115,0.552,5.62e-05,0.371,0.553,171.549,4,32069.0,38,0,0.527329578450023,-0.8768127652996012
34,318773,0,0.604,0.455,1,-9.872,1,0.0297,0.891,0.759,0.0899,0.263,119.853,4,3229.0,32,2,-1.543687568081036,-1.8631928714847525
14,194933,0,0.615,0.679,2,-7.38,1,0.0284,0.107,1.16e-05,0.401,0.802,136.716,3,23928.0,38,0,1.621600694523608,0.23348052407283376
17,80587,0,0.955,0.579,7,-8.209,1,0.0475,0.0878,0.0,0.0317,0.964,116.007,4,353.0,16,0,1.934974974269339,1.2457151065752594
23,104627,0,0.756,0.452,6,-7.067,1,0.0407,0.723,0.0,0.13,0.944,114.393,4,14732.0,45,0,0.5424605112158887,0.9354352960666813
4,189541,0,0.462,0.792,4,-5.436,0,0.0661,0.0104,0.0,0.112,0.638,151.574,4,517.0,14,0,1.8559056079203688,-0.9817160831756199
27,216387,1,0.548,0.805,7,-5.732,1,0.351,0.212,0.000405,0.408,0.649,142.096,4,5076597.0,92,0,1.5237770247701579,0.4253445371104432
32,191560,0,0.491,0.485,0,-8.666,1,0.0284,0.393,0.0,0.383,0.642,146.024,4,64774.0,56,0,0.3091047814936529,-0.2649590453613028
11,169173,0,0.552,0.273,9,-10.694,0,0.0282,0.768,0.443,0.107,0.29,101.297,4,5393.0,29,3,-1.8812811562594578,-0.9584965254673508
3,199800,0,0.485,0.206,7,-9.534,0,0.0366,0.898,0.0,0.272,0.666,94.992,4,53716.0,44,3,-1.3899712099424422,0.06983384380808476
52,186798,0,0.62,0.891,9,-6.121,1,0.0298,0.00202,0.0,0.262,0.729,150.038,4,69854.0,69,0,2.3800590215494304,-0.23383471069690973
42,208000,0,0.63,0.831,6,-4.965,1,0.087,0.108,1.87e-05,0.164,0.593,134.0,4,5012.0,30,0,1.9539781739576638,-0.38294674725947414
22,181800,0,0.597,0.626,9,-12.92,1,0.035,0.476,0.0392,0.179,0.803,93.645,4,35765.0,44,0,0.10335941812542074,0.3203383450337782
19,262000,0,0.525,0.387,0,-10.968,1,0.0413,0.753,0.0,0.147,0.319,79.502,4,3258.0,38,3,-1.372308505942797,-0.5890171904850998
29,233813,0,0.575,0.194,3,-11.515,1,0.0575,0.945,0.00311,0.114,0.453,140.097,4,22695.0,29,3,-1.498758142187973,-0.5960161891180004
42,309336,0,0.718,0.431,6,-10.352,0,0.0306,0.784,6.42e-05,0.109,0.647,109.978,4,697933.0,61,3,-0.2679383918175503,-0.1653885385269867
32,66280,0,0.687,0.958,0,-7.791,1,0.931,0.841,0.0,0.571,0.171,127.441,3,84951.0,73,1,-0.08723269897949976,2.5092514397205234
5,111827,0,0.121,0.366,2,-8.34,1,0.0361,0.49,0.678,0.136,0.457,149.477,4,1785.0,33,2,-1.4511903944295714,-2.3394405692658284
5,160452,0,0.545,0.438,7,-10.341,1,0.0548,0.554,0.000723,0.11,0.906,158.145,4,240.0,10,0,0.3272808003566648,-0.1503919890391011
16,193960,0,0.585,0.904,0,-5.068,1,0.157,0.304,0.000119,0.242,0.849,192.159,4,3063201.0,68,0,2.4281031515832487,-0.23121185828525273
36,66573,0,0.719,0.595,7,-10.347,0,0.937,0.399,0.0,0.454,0.891,60.309,3,613060.0,90,1,0.025833078274441392,3.7435185676670555
9,192293,0,0.493,0.558,7,-9.397,1,0.0331,0.776,5.67e-06,0.402,0.767,132.875,4,2279.0,30,3,-0.04948007127493223,0.13210310710016634
33,231907,0,0.468,0.445,0,-13.087,1,0.03,0.0219,0.00193,0.123,0.732,141.037,4,100394.0,52,0,0.3799345465887518,-0.7826951722610183
44,243093,0,0.588,0.417,4,-7.57,0,0.0302,0.585,0.0,0.168,0.186,65.15,4,149790.0,53,3,-0.8998942531578991,-0.5169684947038923
30,60573,0,0.716,0.498,0,-9.055,1,0.94,0.868,0.0,0.477,0.878,46.557,3,84951.0,73,1,-0.8209987627335746,3.982155992418571
37,209053,0,0.728,0.798,2,-4.812,1,0.0437,0.171,0.0,0.131,0.713,94.992,4,67769.0,34,0,1.8993703247320186,0.16549636851236688
